/Foods_Needing_Condiments_Row/cond_1_code,/Foods_Needing_Condiments_Row/cond_1_name,/Foods_Needing_Condiments_Row/cond_2_code,/Foods_Needing_Condiments_Row/cond_2_name,/Foods_Needing_Condiments_Row/cond_3_code,/Foods_Needing_Condiments_Row/cond_3_name,/Foods_Needing_Condiments_Row/cond_4_code,/Foods_Needing_Condiments_Row/cond_4_name,/Foods_Needing_Condiments_Row/cond_5_code,/Foods_Needing_Condiments_Row/cond_5_name,/Foods_Needing_Condiments_Row/display_name,/Foods_Needing_Condiments_Row/Survey_Food_Code
74303000,Ketchup (catsup),74406010,Barbeque sauce,28500040,Beef gravy,74406100,Steak sauce (A-1),,,Ground beef (85% lean),21501300
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried chicken, boneless and battered (skin eaten)",24107010
74303000,Ketchup (catsup),28500000,Chicken gravy,74406010,Barbeque sauce,83112500,Creamy dressing (ranch),83200100,Low-calorie salad dressing,Baked or roasted chicken breast (skin eaten),24122110
74303000,Ketchup (catsup),28500000,Chicken gravy,74406010,Barbeque sauce,83112500,Creamy dressing (ranch),83200100,Low-calorie salad dressing,Baked or roasted chicken breast (skin not eaten),24122120
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried chicken breast (no coating, skin not eaten)",24124120
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried chicken breast (battered, skin eaten)",24127110
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried chicken breast (skinless, battered)",24127150
74303000,Ketchup (catsup),28500000,Chicken gravy,74406010,Barbeque sauce,83112500,Creamy dressing (ranch),83200100,Low-calorie salad dressing,Baked or roasted chicken dark meat quarter (skin eaten),24132210
74303000,Ketchup (catsup),28500000,Chicken gravy,74406010,Barbeque sauce,83112500,Creamy dressing (ranch),83200100,Low-calorie salad dressing,Baked or roasted chicken dark meat quarter (skin not eaten),24132220
74303000,Ketchup (catsup),28500000,Chicken gravy,74406010,Barbeque sauce,83112500,Creamy dressing (ranch),83200100,Low-calorie salad dressing,Baked or roasted chicken drumstick (skin not eaten),24142220
74303000,Ketchup (catsup),28500000,Chicken gravy,74406010,Barbeque sauce,83112500,Creamy dressing (ranch),83200100,Low-calorie salad dressing,"Fried chicken drumstick (battered, skin eaten)",24147210
74303000,Ketchup (catsup),28500000,Chicken gravy,74406010,Barbeque sauce,83112500,Creamy dressing (ranch),83200100,Low-calorie salad dressing,Baked or roasted chicken thigh (skin not eaten),24152220
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried Chicken thigh (no coating, skin eaten)",24154210
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried Chicken thigh (no coating, skin not eaten)",24154220
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried chicken thigh (battered, skin eaten)",24157210
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried chicken wing (no coating, skin eaten)",24164110
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Fried chicken wing (battered, skin eaten)",24167110
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),28500000,Chicken gravy,91361010,Sweet and sour sauce,"Chicken patty, fillet or tenders (breaded)",24198700
74406010,Barbeque sauce,83200100,Low-calorie salad dressing,83112500,Creamy dressing (ranch),74303000,Ketchup (catsup),91361010,Sweet and sour sauce,CHICKEN NUGGETS,24198740
28500000,Turkey gravy,75506010,Mustard,74303000,Ketchup (catsup),83107000,"Mayonnaise, regular",83203250,Fat-free mayonnaise-type dressing,Roasted turkey (white meat),24201120
28500000,Turkey gravy,75506010,Mustard,74303000,Ketchup (catsup),83107000,"Mayonnaise, regular",83203250,Fat-free mayonnaise-type dressing,Roasted turkey (white & dark meat),24201320
75506010,Mustard,75230010,"Sauerkraut, no fat added",74303000,Ketchup (catsup),75503020,Pickle relish,27111410,Chili con carne (with beans),Low fat hot dog,25210230
75506010,Mustard,75230010,"Sauerkraut, no fat added",74303000,Ketchup (catsup),75503020,Pickle relish,27111410,Chili con carne (with beans),HOT DOG,25210280
75506010,Mustard,75230010,"Sauerkraut, no fat added",74303000,Ketchup (catsup),75503020,Pickle relish,27111410,Chili con carne (with beans),BRATWURST,25220350
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,baked fish,26100120
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,Fried fish (breaded or battered),26100150
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,Baked FISH STICK or FILLET (BREADED or BATTERED),26100230
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,Fried FISH STICK or FILLET (BREADED or BATTERED),26100240
81302050,Tartar sauce,74402100,Salsa,61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,BAKED OR BROILED catfish,26107120
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,Fried CATFISH (breaded or BATTERED),26107150
81302050,Tartar sauce,74402100,Salsa,61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,BAKED OR BROILED cod,26109120
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,Fried COD (breaded or battered),26109150
81302050,Tartar sauce,74402100,Salsa,61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,baked or broiled FLOUNDER,26115120
81302050,Tartar sauce,74402100,Salsa,61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,baked or broiled PERCH,26127120
81302050,Tartar sauce,74402100,Salsa,61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,baked or broiled SALMON,26137120
81302050,Tartar sauce,74402100,Salsa,61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,baked or broiled TROUT,26151120
81302050,Tartar sauce,74402100,Salsa,61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,baked or broiled TUNA,26153120
83107000,"Mayonnaise, regular",83110000,Miracle whip salad dressing,83203250,Fat-free mayonnaise-type dressing,75503020,Pickle relish,,,canned TUNA (in oil),26155180
83107000,"Mayonnaise, regular",83110000,Miracle whip salad dressing,83203250,Fat-free mayonnaise-type dressing,75503020,Pickle relish,,,canned TUNA (in water),26155190
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,81101000,Butter,81102020,Tub margarine,Fried WHITING (FLOURED OR BREADED),26157140
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,74406500,Cocktail sauce,83112500,Creamy dressing (ranch),Fried calamari (fried squid),26213140
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,74406500,Cocktail sauce,83112500,Creamy dressing (ranch),Fried clams (breaded),26303150
81101000,Butter,81102020,Tub margarine,61204010,Lemon juice,74406500,Cocktail sauce,,,"Steamed CLAMS (oysters, mussels)",26303160
81101000,Butter,81102020,Tub margarine,61204010,Lemon juice,74406500,Cocktail sauce,,,Steamed or boiled CRAYFISH,26309160
81101000,Butter,81102020,Tub margarine,61204010,Lemon juice,74406500,Cocktail sauce,,,Steamed or boiled LOBSTER,26311160
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,74406500,Cocktail sauce,83112500,Creamy dressing (ranch),Fried oysters (breaded or battered),26315150
81101000,Butter,81102020,Tub margarine,61204010,Lemon juice,74406500,Cocktail sauce,81302050,Tartar sauce,Baked or broiled SCALLOPS,26317120
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,74406500,Cocktail sauce,83112500,Creamy dressing (ranch),Fried scallops (floured or breaded),26317140
81101000,Butter,81102020,Tub margarine,61204010,Lemon juice,74406500,Cocktail sauce,81302050,Tartar sauce,"Baked, broiled, or sauteed SHRIMP",26319120
81101000,Butter,81102020,Tub margarine,61204010,Lemon juice,74406500,Cocktail sauce,81302050,Tartar sauce,Steamed or boiled SHRIMP,26319130
81302050,Tartar sauce,74303000,Ketchup (catsup),61204010,Lemon juice,74406500,Cocktail sauce,83112500,Creamy dressing (ranch),Fried SHRIMP (BREADED OR BATTERED),26319140
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Teriyaki steak with sauce,27115100
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Sweet & sour pork,27120060
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Chicken teriyaki,27145000
83101000,Blue cheese dressing,83112500,Creamy dressing (ranch),74406010,Barbeque sauce,83200100,Low-calorie salad dressing,91361010,Sweet and sour sauce,Buffalo wing (chicken wing & sauce),27146050
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Sweet & sour chicken,27146100
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Lemon chicken,27146350
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Stir-fried chicken and vegetables,27445110
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,General Tso chicken,27445150
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Kung Pao chicken,27445220
56205010,"White rice, no fat added",56205110,"Brown rice, no fat added",58150110,Fried rice (plain),,,,,Stir-fried shrimp and vegetables,27450410
83112500,Creamy dressing (ranch),83106000,Italian dressing (oil and vinegar),83200100,Low-calorie salad dressing,83101000,Blue cheese dressing,83104000,French dressing,Chef salad (no dressing),27460490
74303000,Ketchup (catsup),75506010,Mustard,83107000,"Mayonnaise, regular",75113000,Lettuce,74101000,Raw tomatoes,"Cheeseburger, plain on bun",27510210
74303000,Ketchup (catsup),75506010,Mustard,83107000,"Mayonnaise, regular",75113000,Lettuce,74101000,Raw tomatoes,Quarter pound cheeseburger on bun,27510240
74303000,Ketchup (catsup),75506010,Mustard,83107000,"Mayonnaise, regular",75113000,Lettuce,74101000,Raw tomatoes,Double cheeseburger on double decker bun,27510300
74303000,Ketchup (catsup),75506010,Mustard,83107000,"Mayonnaise, regular",75113000,Lettuce,74101000,Raw tomatoes,Bacon cheeseburger on bun,27510360
74303000,Ketchup (catsup),75506010,Mustard,83107000,"Mayonnaise, regular",75113000,Lettuce,74101000,Raw tomatoes,"HAMBURGER, PLAIN ON BUN",27510500
74303000,Ketchup (catsup),75506010,Mustard,83107000,"Mayonnaise, regular",75113000,Lettuce,74101000,Raw tomatoes,Quarter pound hamburger on bun,27510530
74303000,Ketchup (catsup),75506010,Mustard,83107000,"Mayonnaise, regular",75113000,Lettuce,74101000,Raw tomatoes,Double hamburger on bun,27510540
81302060,Horseradish sauce,83107000,"Mayonnaise, regular",83204000,Low calorie mayonnaise,74303000,Ketchup (catsup),74406010,Barbeque sauce,ROAST BEEF SANDWICH,27513010
81302060,Horseradish sauce,83107000,"Mayonnaise, regular",83204000,Low calorie mayonnaise,74303000,Ketchup (catsup),74406010,Barbeque sauce,Steak sandwich on roll,27515010
74303000,Ketchup (catsup),74406010,Barbeque sauce,83107000,"Mayonnaise, regular",83204000,Low calorie mayonnaise,,,"Philly cheese steak (with fried peppers and onions, on roll)",27515070
83107000,"Mayonnaise, regular",83204000,Low calorie mayonnaise,,,,,,,"Club sandwich (chicken, bacon, tomato and lettuce)",27520130
75113000,Lettuce,74101000,Raw tomatoes,75506010,Mustard,,,,,Ham sandwich with mayo,27520300
75113000,Lettuce,74101000,Raw tomatoes,,,,,,,CHICKEN SANDWICH with mayo,27540110
75113000,Lettuce,74101000,Raw tomatoes,83107000,"Mayonnaise, regular",83204000,Low calorie mayonnaise,,,FRIED CHICKEN FILLET SANDWICH,27540140
75113000,Lettuce,74101000,Raw tomatoes,,,,,,,Fried FISH SANDWICH with tartar sauce,27550000
74303000,Ketchup (catsup),75506010,Mustard,14420100,"Cheese spread or dip (Velveeta, Cheez Wiz)",,,,,CORN DOG (hot dog with cornbread coating),27560300
74303000,Ketchup (catsup),75506010,Mustard,74406010,Barbeque sauce,,,,,PIG IN A BLANKET (HOT DOG WRAPPED IN DOUGH),27560350
81101000,Butter,81102020,Tub margarine,83107000,"Mayonnaise, regular",83204000,Low calorie mayonnaise,,,hard or soft boiled egg,31103000
74303000,Ketchup (catsup),74402100,Salsa,,,,,,,fried egg,31105000
74303000,Ketchup (catsup),74402100,Salsa,,,,,,,scrambed egg or omelet (cooked without fat),32104950
74303000,Ketchup (catsup),74402100,Salsa,,,,,,,srambled egg or omelet (cooked with fat),32105000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",White bread,51101000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),82101000,Vegetable oil,64401000,Vinegar,French bread,51107010
41205070,Hummus,14301010,Cream cheese (regular),14303010,Low fat cream cheese,82101000,Vegetable oil,,,Pita bread (white),51109100
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),,,,,cheese bread,51111010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",Cinnamon bread or toast,51113010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades","Reduced-calorie, high-fiber bread",51122000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",raisin bread,51129010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),82101000,Vegetable oil,91406500,"Jam preserves, marmalades",sourdough bread,51133010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",white roll,51150000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),,,,,submarine roll,51157000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),,,,,frosted sweet roll or cinnamon bun,51160110
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",CROISSANT,51166000
81101000,Butter,81102020,Tub margarine,14301010,Cream cheese (regular),91406500,"Jam preserves, marmalades",14303010,Low fat cream cheese,BAGEL (plain),51180010
81101000,Butter,81102020,Tub margarine,14301010,Cream cheese (regular),91406500,"Jam preserves, marmalades",14303010,Low fat cream cheese,Raisin bagel,51180030
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",ENGLISH muffin,51186010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",English muffin with raisins,51186100
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",MELBA TOAST,51187000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",100% WHOLE WHEAT bread,51201010
82101000,Vegetable oil,41205070,Hummus,14301010,Cream cheese (regular),14303010,Low fat cream cheese,,,Pita bread (100%  WHOLE WHEAT),51201150
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",Whole wheat English muffin,51202000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",WHEAT OR CRACKED WHEAT bread,51301010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),14301010,Cream cheese (regular),14303010,Low fat cream cheese,wheat Bagel (part whole wheat),51301700
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades","English muffin (cracked wheat, part  WHOLE WHEAT)",51303010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",wheat Roll (part WHOLE WHEAT),51320530
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",Rye bread,51401010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",multigrain bread,51601020
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades","Reduced calori, high fiber multigrain bread",51602010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91302010,Honey,Refrigerated biscuit (canned dough),52102040
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91302010,Honey,biscuit (baking powder or buttermilk),52103000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",cornbread,52206010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades","fruit muffin (blueberry, banana, etc.)",52302010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades","fat free fruit muffin (blueberry, banana, etc.)",52302100
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",chocolate chip muffin,52302500
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",Bran muffin,52304010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",lowfat bran and fruit muffin,52304040
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",Plain Muffin,52306010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",fruit bread,52405010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91401000,"Jelly, all flavors",91406500,"Jam preserves, marmalades",zucchini bread,52407000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,63101120,Applesauce (unsweetened),Pancakes,55101000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,63101120,Applesauce (unsweetened),Blueberry pancakes,55103000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,63101120,Applesauce (unsweetened),Whole wheat pancakes,55105200
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,63101120,Applesauce (unsweetened),Waffle,55201000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,63101120,Applesauce (unsweetened),"Bran, multigrain, or wheat waffle",55202000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,63101120,Applesauce (unsweetened),Lowfat waffle,55211050
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,91101020,Powdered sugar (confectioner's sugar),French toast,55301000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),91300010,Syrup,91101020,Powdered sugar (confectioner's sugar),FRENCH TOAST STICKS,55301050
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),,,,,"Spaghetti, macaroni, or pasta (plain)",56101010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),,,,,Whole wheat spaghetti or pasta (plain),56133000
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),,,,,"Grits (hominy), no fat added",56201010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),,,,,Grits (hominy) with butter added  (??),56201020
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),Oatmeal (plain),56203010
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),"Oatmeal (instant, flavored)",56203030
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),82101000,Vegetable oil,,,White rice,56205010
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),82101000,Vegetable oil,,,brown rice,56205110
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),82101000,Vegetable oil,,,wild rice,56205210
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),82101000,Vegetable oil,,,White rice cooked with butter or oil (??),56205420
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),cream of wheat,56207010
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),ALL-BRAN CEREAL,57101000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),APPLE JACKS CEREAL,57104000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),CAP'N CRUNCH CEREAL,57117000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),CHEERIOS,57123000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),CHEX CEREAL,57124000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),CINNAMON TOAST CRUNCH CEREAL,57125000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),COCOA PUFFS CEREAL,57128000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),CORN FLAKES,57135000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),Fiber One cereal,57206700
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),BRAN FLAKES CEREAL,57207000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),FROOT LOOPS CEREAL,57213000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),FROSTED MINI-WHEATS CEREAL,57214000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),FRUITY PEBBLES CEREAL,57223000
11111000,Whole milk,11112210,1% milk (low fat),11113000,Fat free milk (skim),11320000,"Soymilk, plain (calcium fortified)",91101010,White sugar (granulated or lump),GOLDEN GRAHAMS CEREAL,57224000
